"id","bill_id","service_id","quantity","subtotal","created_at"
"1","INV-1003","SRV-01","1","4200000","2026-05-18 22:34:30"
"2","INV-1004","SRV-03","1","28000000","2026-05-18 22:34:30"
"3","INV-1005","SRV-02","1","3500000","2026-05-18 22:34:30"
"4","INV-1001","SRV-04","1","7500000","2026-05-18 22:34:30"
"5","INV-1002","SRV-02","1","1200000","2026-05-18 22:34:30"
"6","INV-1006","SRV-03","1","2100000","2026-05-18 22:34:30"
"7","INV-1007","SRV-02","1","5000000","2026-05-18 22:34:30"
"8","INV-1008","SRV-09","1","18500000","2026-05-18 22:34:30"
"9","INV-1009","SRV-06","1","6200000","2026-05-18 22:34:30"
"10","INV-1010","SRV-05","1","1800000","2026-05-18 22:34:30"
