"id","name","created_at"
"DEP-01","Cardiology Department","2026-05-18 22:34:30"
"DEP-02","Orthopedics Department","2026-05-18 22:34:30"
"DEP-03","Emergency Unit","2026-05-18 22:34:30"
"DEP-04","Neurology Department","2026-05-18 22:34:30"
"DEP-05","Pulmonology Department","2026-05-18 22:34:30"
"DEP-06","Internal Medicine","2026-05-18 22:34:30"
"DEP-07","Pediatrics Unit","2026-05-18 22:34:30"
"DEP-08","General Surgery","2026-05-18 22:34:30"
"DEP-09","Urology Clinic","2026-05-18 22:34:30"
"DEP-10","Otolaryngology (ENT)","2026-05-18 22:34:30"
