"id","type","price_per_day","created_at"
"RM-CL1A","Class 1 Inpatient Bed A","1200000","2026-05-18 22:34:30"
"RM-CL1B","Class 1 Inpatient Bed B","1200000","2026-05-18 22:34:30"
"RM-CL1C","Class 1 Inpatient Bed C","1200000","2026-05-19 12:47:45"
"RM-CL1D","Class 1 Inpatient Bed D","1200000","2026-05-19 12:47:45"
"RM-CL2A","Class 2 Inpatient Bed A","800000","2026-05-18 22:34:30"
"RM-CL2B","Class 2 Inpatient Bed B","800000","2026-05-18 22:34:30"
"RM-CL2C","Class 2 Inpatient Bed C","800000","2026-05-19 12:47:45"
"RM-CL2D","Class 2 Inpatient Bed D","800000","2026-05-19 12:47:45"
"RM-CL3A","Class 3 Inpatient Bed A","450000","2026-05-18 22:34:30"
"RM-CL3B","Class 3 Inpatient Bed B","450000","2026-05-18 22:34:30"
"RM-CL3C","Class 3 Inpatient Bed C","450000","2026-05-19 12:47:45"
"RM-CL3D","Class 3 Inpatient Bed D","450000","2026-05-19 12:47:45"
"RM-ICU1","Intensive Care Unit (ICU)","4000000","2026-05-18 22:34:30"
"RM-ICU2","Neonatal Intensive Care (NICU)","4500000","2026-05-18 22:34:30"
"RM-ICU3","Pediatric Intensive Care (PICU)","4500000","2026-05-19 12:47:45"
"RM-ICU4","Cardiac Intensive Care (CICU)","4800000","2026-05-19 12:47:45"
"RM-VIP1","VIP Presidential Suite","3500000","2026-05-18 22:34:30"
"RM-VIP2","VIP Care Suite","2500000","2026-05-18 22:34:30"
"RM-VIP3","VVIP Royal Suite","5000000","2026-05-19 12:47:45"
"RM-VIP4","VIP Executive Suite","3000000","2026-05-19 12:47:45"
