"id","name","tariff","department_id","created_at"
"SRV-01","Cardiology Comprehensive Assessment","4200000","DEP-01","2026-05-18 22:34:30"
"SRV-02","Ankle Cast, Splinting & X-Ray","3500000","DEP-02","2026-05-18 22:34:30"
"SRV-03","Emergency Appendectomy Surgery","28000000","DEP-03","2026-05-18 22:34:30"
"SRV-04","Brain CT Scan & EEG Exam","7500000","DEP-04","2026-05-18 22:34:30"
"SRV-05","Nebulizer Therapy & Lung Swab","1800000","DEP-05","2026-05-18 22:34:30"
"SRV-06","Endoscopy & Gastric Screening","6200000","DEP-06","2026-05-18 22:34:30"
"SRV-07","Pediatric Vaccination & Checkup","1200000","DEP-07","2026-05-18 22:34:30"
"SRV-08","Laparoscopic Cholecystectomy","32000000","DEP-08","2026-05-18 22:34:30"
"SRV-09","Laser Lithotripsy (Kidney Stone)","18500000","DEP-09","2026-05-18 22:34:30"
"SRV-10","Sinus Drainage & ENT Scope","8500000","DEP-10","2026-05-18 22:34:30"
